Date,Open,High,Low,Close,Adj_Close,Volume,Compound,Negative,Neutral,Positive
3/18/2010,8.003571,8.035714,7.950357,8.023214,6.810077,342109600,0.9223,0.065,0.839,0.096
3/19/2010,8.028214,8.044286,7.901071,7.9375,6.737323,559445600,0.9683,0.099,0.754,0.148
3/22/2010,7.873929,8.071429,7.8625,8.026786,6.813108,456419600,0.9825,0.011,0.885,0.104
3/23/2010,8.058571,8.170714,8.003571,8.155714,6.92254,602431200,0.945,0,0.926,0.074
3/24/2010,8.13,8.221429,8.125357,8.191786,6.95316,597780400,0.926,0.053,0.842,0.105
3/25/2010,8.247143,8.248929,8.080357,8.094643,6.870705,542284400,-0.4951,0.046,0.904,0.05
3/26/2010,8.176786,8.283929,8.1625,8.246429,6.99954,640875200,0.0258,0.061,0.882,0.057
3/29/2010,8.321429,8.3525,8.272143,8.299643,7.044709,540744400,0.7242,0.063,0.787,0.15
3/30/2010,8.45,8.481429,8.366071,8.423214,7.149595,527310000,0,0,0,0
3/31/2010,8.410357,8.450357,8.373571,8.392857,7.123828,430659600,0,0,0,0
4/1/2010,8.478929,8.526071,8.3125,8.4275,7.153233,603145200,-0.5674,0.041,0.923,0.035
4/5/2010,8.392143,8.518214,8.384643,8.5175,7.229625,684507600,0.2411,0.047,0.907,0.047
4/6/2010,8.507143,8.58,8.464286,8.555,7.261455,447017200,0.8496,0.018,0.92,0.063
4/7/2010,8.555357,8.64,8.523571,8.592857,7.293586,628502000,0.9859,0.029,0.829,0.142
4/8/2010,8.587143,8.626429,8.501429,8.569643,7.273885,572989200,0.7964,0.038,0.887,0.075
4/9/2010,8.6225,8.638929,8.587857,8.635357,7.329662,334182800,0.2942,0.068,0.865,0.066
4/12/2010,8.65,8.681071,8.636071,8.653214,7.344817,333026400,0.5574,0.052,0.878,0.071
4/13/2010,8.637857,8.671429,8.611071,8.658214,7.349061,306210800,0,0.02,0.956,0.024
4/14/2010,8.76,8.778929,8.716786,8.774643,7.447885,404076400,0.6593,0.044,0.893,0.063
4/15/2010,8.777857,8.893929,8.768214,8.89,7.5458,376784800,0.8673,0.026,0.901,0.073
4/16/2010,8.8775,8.969286,8.733929,8.835714,7.499725,750545600,0.836,0.098,0.78,0.122
4/19/2010,8.8225,8.853214,8.634643,8.823929,7.489719,566924400,0.8228,0.023,0.926,0.051
4/20/2010,8.876429,8.901786,8.677143,8.735357,7.414542,738326400,-0.8948,0.147,0.759,0.095
4/21/2010,9.242857,9.294643,9.133214,9.257857,7.858035,982391200,0.9638,0.007,0.898,0.095
4/22/2010,9.222857,9.526786,9.15,9.516786,8.077815,793424800,0.9591,0.037,0.845,0.119
4/23/2010,9.571071,9.720714,9.535714,9.6725,8.209985,796955600,0.9387,0.065,0.831,0.104
4/26/2010,9.71,9.730714,9.578214,9.625,8.169667,479068800,0.2406,0.056,0.894,0.051
4/27/2010,9.545357,9.565714,9.304286,9.358571,7.943524,709343600,-0.6808,0.079,0.871,0.05
4/28/2010,9.401786,9.428571,9.1575,9.342857,7.930184,758402400,0,0,1,0
4/29/2010,9.393571,9.642857,9.3575,9.594286,8.143598,558840800,0.9501,0.061,0.831,0.108
4/30/2010,9.618214,9.663214,9.321429,9.324643,7.914724,542463600,0.9538,0.019,0.863,0.118
5/3/2010,9.422857,9.567143,9.388571,9.5125,8.074174,454342000,0,0,0,0
5/4/2010,9.388929,9.403214,9.169643,9.238571,7.841669,723819600,0.8555,0.023,0.89,0.087
5/5/2010,9.036786,9.219286,8.883214,9.1425,7.760121,883103200,0.9088,0.036,0.859,0.105
5/6/2010,9.065357,9.223214,7.116071,8.794643,7.464862,1285860800,0.7903,0.085,0.804,0.112
5/7/2010,8.703929,8.806071,8.043214,8.423571,7.149898,1676018400,-0.9673,0.127,0.825,0.048
5/10/2010,8.9375,9.094643,8.876071,9.071071,7.699493,984306400,0.6966,0.017,0.955,0.029
5/11/2010,8.994286,9.281786,8.946429,9.161429,7.776189,848906800,0.9493,0.037,0.864,0.1
5/12/2010,9.258571,9.3975,9.239286,9.360357,7.94504,654379600,0.9393,0.025,0.892,0.083
5/13/2010,9.400714,9.464286,9.157143,9.227143,7.831967,599712400,0.886,0.055,0.863,0.083
5/14/2010,9.112857,9.16,8.910714,9.065,7.694341,759362800,0.6369,0.076,0.827,0.097
5/17/2010,9.096429,9.149286,8.846786,9.079286,7.706465,762834800,0.8377,0.102,0.782,0.115
5/18/2010,9.177857,9.233929,8.937857,9.012857,7.65008,782678400,-0.9248,0.098,0.854,0.048
5/19/2010,8.910714,9.032857,8.744643,8.869286,7.52822,1025726800,-0.8925,0.092,0.864,0.044
5/20/2010,8.638571,8.708929,8.436071,8.491429,7.207496,1282915200,0.9736,0.012,0.885,0.102
5/21/2010,8.315,8.732143,8.2625,8.654286,7.34573,1223891200,0,0,0,0
5/24/2010,8.831429,8.960714,8.795,8.812857,7.480321,754238800,-0.6072,0.086,0.856,0.058
5/25/2010,8.548214,8.812857,8.47,8.757857,7.433639,1048006400,0.7319,0.056,0.865,0.079
5/26/2010,8.931429,9.004643,8.705357,8.718214,7.399989,850654000,-0.8837,0.1,0.831,0.069
5/27/2010,8.95,9.0675,8.896786,9.048214,7.680094,666282400,-0.8056,0.077,0.882,0.041
5/28/2010,9.263929,9.264286,9.048214,9.174286,7.787102,815614800,0.7096,0.046,0.829,0.125
6/1/2010,9.274643,9.497857,9.248571,9.315357,7.906842,876472800,0.8708,0.021,0.921,0.058
6/2/2010,9.447857,9.457143,9.2975,9.426786,8.001425,688548000,0.8798,0.012,0.939,0.049
6/3/2010,9.470714,9.483929,9.300357,9.397143,7.976261,650106800,0.9069,0.006,0.938,0.056
6/4/2010,9.221786,9.353571,9.093929,9.141429,7.759212,758304400,0.9856,0.03,0.84,0.13
6/7/2010,9.224643,9.255357,8.948214,8.962143,7.607038,886942000,0.9524,0.042,0.864,0.094
6/8/2010,9.044286,9.064286,8.773214,8.904643,7.558228,1000770400,0.9729,0.034,0.852,0.114
6/9/2010,8.981071,8.996429,8.660357,8.685714,7.372406,854630000,-0.9612,0.103,0.864,0.033
6/10/2010,8.744286,8.963571,8.65,8.946786,7.594001,776356000,0.8523,0.048,0.877,0.075
6/11/2010,8.865357,9.066429,8.834643,9.053929,7.684943,545759200,0.9839,0.045,0.827,0.128
6/14/2010,9.141429,9.255357,9.071786,9.081429,7.708285,602960400,-0.9559,0.082,0.886,0.032
6/15/2010,9.13,9.280357,9.125,9.274643,7.872286,585074000,-0.6705,0.107,0.797,0.095
